date	editcount
2008-11-17	84
2008-11-16	77
2008-11-15	73
2008-11-14	82
2008-11-13	57
2008-11-12	77
2008-11-11	37
2008-11-10	36
2004-08-16	4
2008-11-19	38
2008-11-18	101
2004-05-27	4
2004-05-26	3
2004-05-25	5
2004-05-24	9
2004-05-23	8
2004-05-22	29
2004-05-21	27
2004-05-20	32
2002-08-12	1
2004-05-29	1
2004-05-28	7
2004-09-01	4
2012-07-01	21
2013-04-19	12
2013-04-18	24
2013-01-01	29
2013-01-03	25
2013-01-02	54
2013-01-05	30
2013-01-04	36
2013-01-07	30
2013-01-06	16
2013-01-09	16
2013-01-08	23
2006-12-30	115
2006-12-31	106
2014-03-31	39
2014-03-30	38
2012-03-29	37
2007-09-28	162
2005-05-31	36
2005-05-30	24
2005-06-20	20
2013-04-14	21
2008-07-30	120
2008-07-31	157
2010-01-16	47
2003-08-20	2
2012-03-19	32
2009-02-12	41
2010-05-08	25
2010-05-09	32
2012-03-11	29
2012-03-10	53
2010-05-04	68
2010-05-05	47
2012-03-15	45
2010-05-03	49
2012-03-17	21
2010-05-01	46
2008-04-28	93
2010-09-28	45
2012-02-24	32
2008-04-29	127
2009-02-16	47
2004-09-03	5
2012-03-24	42
2009-02-17	57
2004-09-07	10
2004-09-02	4
2009-02-14	71
2004-09-05	4
2012-02-20	35
2005-06-30	16
2004-09-04	12
2005-10-11	42
2005-10-10	58
2005-10-13	39
2005-10-12	61
2005-10-15	15
2005-10-14	30
2005-10-17	22
2005-10-16	25
2005-10-19	69
2005-10-18	26
2004-09-06	5
2012-03-25	40
2008-04-20	156
2004-09-08	6
2008-04-22	58
2014-08-09	8
2014-08-08	6
2008-04-23	67
2002-06-03	2
2014-08-01	5
2008-04-24	133
2014-08-03	12
2014-08-02	20
2014-08-05	26
2014-08-04	15
2014-08-07	16
2008-04-25	58
2011-05-07	44
2011-05-06	54
2011-05-05	25
2011-05-04	51
2011-05-03	43
2011-05-02	53
2011-05-01	114
2009-12-14	37
2011-05-09	65
2011-05-08	50
2003-11-03	6
2014-11-15	22
2014-11-16	11
2014-11-17	37
2014-11-10	10
2014-11-11	24
2003-11-05	1
2014-11-13	6
2003-11-09	2
2014-11-18	9
2014-11-19	14
2010-10-26	59
2012-04-10	22
2012-04-11	27
2012-04-12	30
2012-04-13	53
2012-04-14	25
2012-04-15	13
2012-04-16	39
2012-04-17	23
2012-04-18	34
2012-04-19	25
2006-08-21	75
2014-08-28	10
2009-10-31	35
2009-10-30	28
2004-03-31	1
2011-12-01	27
2011-06-30	68
2006-07-09	84
2006-07-08	75
2011-10-03	29
2011-10-02	37
2012-03-21	16
2011-10-04	28
2011-10-07	58
2011-10-06	23
2011-10-09	46
2011-10-08	57
2006-07-03	104
2006-07-02	100
2006-07-05	87
2006-07-04	127
2006-07-07	52
2006-07-06	106
2010-01-01	36
2011-02-09	80
2013-10-29	23
2010-07-02	119
2013-10-25	39
2013-10-24	14
2013-10-27	16
2010-07-03	117
2013-10-21	15
2013-10-20	20
2013-10-23	14
2013-10-22	11
2006-04-22	103
2006-04-23	82
2006-04-20	82
2006-04-21	89
2006-04-26	59
2006-04-27	59
2006-04-24	84
2006-04-25	60
2014-07-22	5
2006-04-28	74
2006-04-29	56
2012-07-19	12
2012-07-18	23
2012-03-23	22
2003-07-24	1
2003-07-25	5
2003-07-22	2
2003-07-23	4
2003-07-20	15
2004-02-23	2
2011-03-23	79
2004-02-20	8
2003-07-28	7
2003-07-29	2
2010-09-08	60
2010-09-09	47
2011-08-01	177
2010-09-02	71
2010-09-03	74
2010-09-01	22
2010-09-06	33
2010-09-07	58
2010-09-04	55
2010-09-05	56
2009-06-27	71
2009-06-26	70
2012-12-02	54
2012-12-03	40
2009-06-23	57
2009-06-22	96
2009-06-21	46
2009-06-20	74
2012-12-08	31
2008-06-05	131
2008-06-06	91
2008-06-07	78
2008-06-01	76
2009-06-29	93
2009-06-28	56
2010-08-22	64
2007-03-25	136
2007-09-01	259
2005-02-27	3
2012-07-31	20
2012-06-21	36
2005-01-08	7
2005-01-09	4
2012-02-01	20
2012-06-20	34
2012-11-17	34
2005-01-01	5
2005-01-02	63
2005-01-03	25
2005-01-04	13
2005-01-05	8
2005-01-06	12
2005-01-07	12
2014-04-16	23
2014-04-17	11
2014-04-14	18
2014-04-15	14
2014-04-12	13
2012-06-25	39
2014-04-10	25
2014-04-11	16
2009-07-06	132
2012-06-24	26
2014-04-18	15
2014-04-19	15
2008-05-12	109
2008-05-13	87
2008-05-10	70
2008-05-11	82
2008-05-16	77
2008-05-17	90
2008-05-14	74
2008-05-15	70
2013-04-16	20
2005-02-17	2
2008-05-18	122
2008-05-19	60
2005-02-12	7
2005-02-13	7
2005-02-10	13
2005-02-11	19
2006-11-06	34
2009-11-18	63
2009-11-19	50
2012-11-29	21
2007-01-25	85
2012-11-27	31
2009-11-13	29
2009-11-10	46
2012-11-24	28
2012-11-23	41
2009-07-08	115
2009-11-14	46
2012-11-20	28
2009-05-18	66
2006-11-05	86
2004-02-25	3
2007-01-20	79
2003-10-18	5
2007-01-21	86
2003-10-17	5
2012-11-18	45
2006-11-01	75
2012-12-14	8
2012-12-21	43
2011-12-09	44
2013-05-30	11
2013-05-31	13
2004-07-05	23
2011-10-29	47
2002-12-31	1
2009-04-30	71
2007-06-30	200
2004-08-02	10
2004-10-28	5
2013-01-30	16
2013-01-31	22
2013-03-27	27
2006-12-25	95
2006-12-24	114
2006-12-27	102
2006-12-26	113
2006-12-21	255
2006-12-20	109
2006-12-23	181
2006-12-22	179
2014-03-04	15
2014-03-05	11
2014-03-06	20
2013-07-13	24
2006-12-29	100
2006-12-28	120
2014-03-02	6
2014-03-03	22
2012-12-27	29
2008-08-05	61
2005-09-21	64
2010-01-03	114
2005-05-06	8
2005-05-07	26
2010-01-06	59
2010-01-07	72
2010-01-04	68
2010-01-05	119
2010-01-08	38
2010-01-09	47
2005-05-08	10
2005-05-09	17
2013-07-19	30
2005-04-01	15
2012-12-13	21
2010-11-02	80
2013-10-17	18
2012-01-28	26
2012-09-03	22
2005-09-28	41
2005-09-29	42
2005-09-26	47
2005-09-27	81
2005-09-24	35
2005-09-25	22
2005-09-22	35
2005-09-23	59
2005-09-20	35
2012-09-05	22
2004-07-29	20
2004-07-28	14
2010-05-19	50
2010-05-18	41
2010-10-10	72
2010-05-15	129
2010-05-14	44
2004-07-23	10
2010-05-16	101
2010-05-11	44
2010-05-10	29
2010-05-13	54
2010-05-12	37
2014-07-17	8
2014-07-16	12
2013-11-28	35
2013-04-09	39
2013-09-17	12
2005-06-23	61
2005-06-22	44
2005-06-21	21
2013-11-29	32
2005-06-27	8
2005-06-26	34
2005-06-25	46
2005-06-24	32
2008-09-23	62
2005-06-29	19
2005-06-28	19
2012-01-30	31
2014-07-12	11
2005-10-24	42
2005-10-25	33
2005-10-26	47
2005-10-27	39
2005-10-20	39
2005-10-21	54
2005-10-22	44
2005-10-23	35
2014-07-10	37
2005-10-28	34
2005-10-29	57
2013-03-26	16
2011-12-11	53
2009-10-22	52
2012-01-27	29
2014-08-30	21
2014-08-31	19
2013-11-24	26
2012-01-24	29
2013-11-25	99
2012-09-04	8
2005-07-17	810
2005-02-08	7
2012-03-13	25
2012-04-07	23
2012-04-06	31
2012-04-05	34
2012-04-04	44
2012-04-03	13
2012-04-02	44
2012-04-01	50
2012-08-19	18
2012-04-09	41
2012-04-08	27
2012-03-12	37
2003-06-01	1
2011-10-27	43
2011-10-30	35
2011-10-31	51
2006-07-30	62
2006-07-31	117
2004-09-18	6
2012-07-28	31
2013-10-11	11
2013-10-12	14
2013-10-13	24
2013-10-14	23
2013-03-16	62
2013-10-16	43
2004-08-14	17
2013-10-18	16
2012-07-21	40
2012-07-22	10
2012-07-23	48
2012-07-24	29
2012-07-25	19
2012-07-26	27
2012-07-27	35
2004-03-25	9
2004-03-24	1
2014-11-09	6
2012-10-09	17
2004-09-19	4
2004-03-20	11
2004-03-23	11
2004-03-22	14
2014-11-03	9
2014-11-02	25
2014-11-01	11
2004-03-29	2
2014-11-06	14
2014-11-05	15
2007-09-21	139
2011-08-26	50
2010-03-14	65
2004-08-13	4
2011-08-27	50
2012-01-22	44
2004-08-12	10
2012-01-21	51
2010-03-12	44
2010-09-19	70
2010-09-18	37
2011-08-25	57
2003-03-26	2
2012-01-20	31
2007-11-30	89
2003-03-25	1
2010-09-11	45
2010-09-10	40
2010-09-13	46
